title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable atmos.day.utendnogw_tavg-p19-hxy-air (Eday.utendnogw),802,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/802,day atmos,utendnogw_tavg-p19-hxy-air,tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag,Not present,area: areacella,area: time: mean where air,Tendency of eastward wind induced by the parameterized non-orographic gravity wave drag,longitude latitude plev19 time,day,Tendency of eastward wind due to non-orographic gravity waves,atmos,,"This is the total tendency due to parameterized non-orographic gravity wave drag, which is the sum of all possible components of the parameterization (where applicable). We ask that in the Essential Model Documentation modelling centers specify the parameterization scheme used and the specific values of its tunable parameters used for the simulation, and a specification of the part of the gravity wave spectrum that is targeted by the parameterization (e.g., minimally, the effective resolution of the model).",m s-2,New,,,,,
Variable atmos.day.intvaw_tavg-u-hxy-u (Eday.intvaw),733,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/733,day atmos,intvaw_tavg-u-hxy-u,northward_atmosphere_water_transport_across_unit_distance,Not present,area: areacella,area: time: mean,Vertically integrated northward moisture transport (Mass_weighted_vertical integral of the product of northward wind by total water mass per unit mass),longitude latitude time,day,Vertically Integrated Northward Moisture Transport,atmos,,,kg m-1 s-1,New,,,,,
Variable atmos.day.intvadse_tavg-u-hxy-u (Eday.intvadse),732,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/732,day atmos,intvadse_tavg-u-hxy-u,northward_atmosphere_dry_static_energy_transport_across_unit_distance,Not present,area: areacella,area: time: mean,Vertically integrated northward dry static energy transport (cp.T +zg).v (Mass_weighted_vertical integral of the product of northward wind by dry static_energy per mass unit),longitude latitude time,day,Vertically Integrated Northward Dry Static Energy Transport,atmos,,,MJ m-1 s-1,New,,,,,
Variable atmos.day.intuaw_tavg-u-hxy-u (Eday.intuaw),731,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/731,day atmos,intuaw_tavg-u-hxy-u,eastward_atmosphere_water_transport_across_unit_distance,Not present,area: areacella,area: time: mean,Vertically integrated eastward moisture transport (Mass weighted vertical integral of the product of eastward wind by total water mass per unit mass),longitude latitude time,day,Vertically Integrated Eastward Moisture Transport,atmos,,,kg m-1 s-1,New,,,,,
Variable atmos.day.intuadse_tavg-u-hxy-u (Eday.intuadse),730,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/730,day atmos,intuadse_tavg-u-hxy-u,eastward_atmosphere_dry_static_energy_transport_across_unit_distance,Not present,area: areacella,area: time: mean,Vertically integrated eastward dry static energy transport (cp.T +zg).v (Mass_weighted_vertical integral of the product of eastward wind by dry static_energy per mass unit),longitude latitude time,day,Vertically Integrated Eastward Dry Static Energy Transport,atmos,,,MJ m-1 s-1,New,,,,,
Variable atmos.3hr.wap_tpt-u-hxy-air (E3hrPt.wap6),706,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/706,3hr atmos,wap_tpt-u-hxy-air,lagrangian_tendency_of_air_pressure,Not present,area: areacella,area: mean where air time: point,Omega (=dp/dt) on 6 pressure levels in the lower troposphere,longitude latitude plev6 time1,3hr,Omega (=dp/dt),atmos,,950 hPa to 700 hPa with an interval of 50h Pa for vertical layers (6 vertical layers),Pa s-1,New,,,,,
Variable atmos.3hr.va_tpt-u-hxy-air (E3hrPt.va6),705,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/705,3hr atmos,va_tpt-u-hxy-air,northward_wind,Not present,area: areacella,area: mean where air time: point,Meridional wind (positive in a northward direction) on 6 pressure levels in the lower troposphere,longitude latitude plev6 time1,3hr,Northward Wind,atmos,,950 hPa to 700 hPa with an interval of 50h Pa for vertical layers (6 vertical layers),m s-1,New,,,,,
Variable atmos.3hr.ua_tpt-u-hxy-air (E3hrPt.ua6),704,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/704,3hr atmos,ua_tpt-u-hxy-air,eastward_wind,Not present,area: areacella,area: mean where air time: point,Zonal wind (positive in a eastward direction) on 6 pressure levels in the lower troposphere,longitude latitude plev6 time1,3hr,Eastward wind,atmos,,950 hPa to 700 hPa with an interval of 50h Pa for vertical layers (6 vertical layers),m s-1,New,,,,,
Variable atmos.3hr.ta6_tpt-u-hxy-air (E3hrPt.ta6),703,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/703,3hr atmos,ta6_tpt-u-hxy-air,air_temperature,Not present,area: areacella,area: mean where air time: point,Air temperature on 6 pressure levels in the lower troposphere,longitude latitude plev6 time1,3hr,Air temperature,atmos,,950 hPa to 700 hPa with an interval of 50h Pa for vertical layers (6 vertical layers),K,New,,,,,
Variable atmos.3hr.hus_tpt-u-hxy-air (E3hrPt.hus6),693,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/693,3hr atmos,hus_tpt-u-hxy-air,specific_humidity,Not present,area: areacella,area: mean where air time: point,Specific humidity on 6 pressure levels in the lower troposphere,longitude latitude plev6 time1,3hr,Specific humidity,atmos,,950 hPa to 700 hPa with an interval of 50h Pa for vertical layers (6 vertical layers),1,New,,,,,
Variable atmos.1hr.wsgmax_tstat-h10m-hxy-u (E1hr.wsgmax10m),676,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/676,1hr atmos,wsgmax_tstat-h10m-hxy-u,wind_speed_of_gust,Not present,area: areacella,area: mean time: maximum,Wind speed gust maximum at 10m above surface,longitude latitude time height10m,1hr,Maximum Speed of Wind Gust at 10m,atmos,,Time maximum required,m s-1,New,,,,,
Variable atmos.1hr.wsgmax_tstat-h100m-hxy-u (E1hr.wsgmax100m),675,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/675,1hr atmos,wsgmax_tstat-h100m-hxy-u,wind_speed_of_gust,Not present,area: areacella,area: mean time: maximum,Wind speed gust maximum at 100m above surface,longitude latitude time height100m,1hr,Maximum Wind Speed of Gust at 100m,atmos,,Wind speed gust maximum at 100m above surface - hourly output,m s-1,New,,,,,
