Model,Branded variable name,Frequency,STASH,Section,Item,time_profile,domain_profile,usage_profile
HadGEM3-GC31,rls_tavg-u-hxy-u,mon,m01s02i201,2,201,TMONMN,DIAG,UP5
HadGEM3-GC31,rls_tavg-u-hxy-u,mon,m01s02i205,2,205,TMONMN,DIAG,UP5
HadGEM3-GC31,rls_tavg-u-hxy-u,mon,m01s03i332,3,332,TMONMN,DIAG,UP5
UKESM1,reffclws_tavg-l-hxy-u,mon,m01s02i312,2,312,TMONMN,DALLTH,UP5
UKESM1,reffclws_tavg-l-hxy-u,mon,m01s02i397,2,397,TMONMN,DALLTH,UP5
UKESM1,reffclws_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
HadGEM3-GC31,reffclws_tavg-l-hxy-u,mon,m01s02i312,2,312,TMONMN,DALLTH,UP5
HadGEM3-GC31,reffclws_tavg-l-hxy-u,mon,m01s02i397,2,397,TMONMN,DALLTH,UP5
HadGEM3-GC31,reffclws_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
UKESM1,reffclwc_tavg-l-hxy-u,mon,m01s02i312,2,312,TMONMN,DALLTH,UP5
UKESM1,reffclwc_tavg-l-hxy-u,mon,m01s02i397,2,397,TMONMN,DALLTH,UP5
UKESM1,reffclwc_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
HadGEM3-GC31,reffclwc_tavg-l-hxy-u,mon,m01s02i312,2,312,TMONMN,DALLTH,UP5
HadGEM3-GC31,reffclwc_tavg-l-hxy-u,mon,m01s02i397,2,397,TMONMN,DALLTH,UP5
HadGEM3-GC31,reffclwc_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
UKESM1,reffclis_tavg-l-hxy-u,mon,m01s02i313,2,313,TMONMN,DALLTH,UP5
UKESM1,reffclis_tavg-l-hxy-u,mon,m01s02i398,2,398,TMONMN,DALLTH,UP5
UKESM1,reffclis_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
HadGEM3-GC31,reffclis_tavg-l-hxy-u,mon,m01s02i313,2,313,TMONMN,DALLTH,UP5
HadGEM3-GC31,reffclis_tavg-l-hxy-u,mon,m01s02i398,2,398,TMONMN,DALLTH,UP5
HadGEM3-GC31,reffclis_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
UKESM1,reffclic_tavg-l-hxy-u,mon,m01s02i313,2,313,TMONMN,DALLTH,UP5
UKESM1,reffclic_tavg-l-hxy-u,mon,m01s02i398,2,398,TMONMN,DALLTH,UP5
UKESM1,reffclic_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
HadGEM3-GC31,reffclic_tavg-l-hxy-u,mon,m01s02i313,2,313,TMONMN,DALLTH,UP5
HadGEM3-GC31,reffclic_tavg-l-hxy-u,mon,m01s02i398,2,398,TMONMN,DALLTH,UP5
HadGEM3-GC31,reffclic_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
UKESM1,raTree_tavg-u-hxy-lnd,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,raTree_tavg-u-hxy-lnd,mon,m01s19i184,19,184,TMONMN,DPFTS,UP5
UKESM1,raShrub_tavg-u-hxy-lnd,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,raShrub_tavg-u-hxy-lnd,mon,m01s19i184,19,184,TMONMN,DPFTS,UP5
UKESM1,raGrass_tavg-u-hxy-lnd,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,raGrass_tavg-u-hxy-lnd,mon,m01s19i184,19,184,TMONMN,DPFTS,UP5
UKESM1,pastureFracC4_tavg-u-hxy-u,mon,m01s03i395,3,395,TMONMN,DIAG,UP5
UKESM1,pastureFracC4_tavg-u-hxy-u,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,pastureFracC3_tavg-u-hxy-u,mon,m01s03i395,3,395,TMONMN,DIAG,UP5
UKESM1,pastureFracC3_tavg-u-hxy-u,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,parasolRefl_tavg-u-hxy-sea,mon,m01s02i348,2,348,TMONMN,DCOSP5SZA,UP5
HadGEM3-GC31,parasolRefl_tavg-u-hxy-sea,mon,m01s02i348,2,348,TMONMN,DCOSP5SZA,UP5
UKESM1,nppTree_tavg-u-hxy-lnd,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,nppTree_tavg-u-hxy-lnd,mon,m01s19i101,19,101,TMONMN,DPFTS,UP5
UKESM1,nppShrub_tavg-u-hxy-lnd,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,nppShrub_tavg-u-hxy-lnd,mon,m01s19i101,19,101,TMONMN,DPFTS,UP5
UKESM1,npp_tavg-u-hxy-lnd,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,npp_tavg-u-hxy-lnd,mon,m01s19i101,19,101,TMONMN,DPFTS,UP5
UKESM1,nppGrass_tavg-u-hxy-lnd,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,nppGrass_tavg-u-hxy-lnd,mon,m01s19i101,19,101,TMONMN,DPFTS,UP5
UKESM1,nVeg_tavg-u-hxy-lnd,mon,m01s19i137,19,137,TMONMN,DIAG,UP5
UKESM1,nStem_tavg-u-hxy-lnd,mon,m01s19i131,19,131,TMONMN,DPFTS,UP5
UKESM1,nSoil_tavg-u-hxy-lnd,mon,m01s19i145,19,145,TMONMN,DIAG,UP5
UKESM1,nRoot_tavg-u-hxy-lnd,mon,m01s19i133,19,133,TMONMN,DPFTS,UP5
UKESM1,nMineral_tavg-u-hxy-lnd,mon,m01s19i146,19,146,TMONMN,DIAG,UP5
UKESM1,nLeaf_tavg-u-hxy-lnd,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,nLeaf_tavg-u-hxy-lnd,mon,m01s19i132,19,132,TMONMN,DPFTS,UP5
UKESM1,nLand_tavg-u-hxy-lnd,mon,m01s19i147,19,147,TMONMN,DIAG,UP5
UKESM1,mrsol_tavg-l-hxy-lnd,mon,m01s08i223,8,223,TMONMN,DSOIL,UP5
